116->116: 1	 116
116->210: 6	 111,112,113,114,115,116
116->224: 20	 224,223,222,221,220,219,218,217,216,215,214,604,605,606,522,521,520,519,518,116
116->321: 12	 321,320,319,318,317,316,315,521,520,519,518,116
116->410: 16	 410,409,408,407,406,320,319,318,317,316,315,521,520,519,518,116
116->505: 15	 505,506,507,508,509,510,511,512,513,514,515,516,517,518,116
116->506: 14	 506,507,508,509,510,511,512,513,514,515,516,517,518,116
116->605: 8	 605,606,522,521,520,519,518,116
116->606: 6	 522,521,520,519,518,116
116->607: 8	 607,606,522,521,520,519,518,116
210->116: 6	 518,517,516,515,209,210
210->210: 1	 210
210->224: 15	 224,223,222,221,220,219,218,217,216,215,214,213,212,211,210
210->321: 14	 321,320,319,318,317,316,315,314,313,312,113,112,111,210
210->410: 18	 410,409,408,407,406,320,319,318,317,316,315,314,313,312,113,112,111,210
210->505: 13	 505,506,507,508,509,510,511,512,513,514,515,209,210
210->506: 12	 506,507,508,509,510,511,512,513,514,515,209,210
210->605: 7	 605,604,214,213,212,211,210
210->606: 8	 606,605,604,214,213,212,211,210
210->607: 9	 607,606,605,604,214,213,212,211,210
224->116: 19	 518,519,520,521,522,606,605,604,214,215,216,217,218,219,220,221,222,223,224
224->210: 15	 210,211,212,213,214,215,216,217,218,219,220,221,222,223,224
224->224: 1	 224
224->321: 19	 321,320,406,407,408,409,410,411,412,413,496,495,494,493,492,491,222,223,224
224->410: 13	 410,411,412,413,496,495,494,493,492,491,222,223,224
224->505: 27	 505,506,507,508,509,510,511,512,513,514,515,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224
224->506: 26	 506,507,508,509,510,511,512,513,514,515,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224
224->605: 13	 605,604,214,215,216,217,218,219,220,221,222,223,224
224->606: 14	 606,605,604,214,215,216,217,218,219,220,221,222,223,224
224->607: 15	 607,606,605,604,214,215,216,217,218,219,220,221,222,223,224
321->116: 11	 518,519,520,521,315,316,317,318,319,320,321
321->210: 13	 111,112,113,312,313,314,315,316,317,318,319,320,321
321->224: 19	 224,223,222,491,492,493,494,495,496,413,412,411,410,409,408,407,406,320,321
321->321: 1	 321
321->410: 7	 410,409,408,407,406,320,321
321->505: 23	 505,506,507,508,509,510,511,512,513,514,515,516,311,312,313,314,315,316,317,318,319,320,321
321->506: 22	 506,507,508,509,510,511,512,513,514,515,516,311,312,313,314,315,316,317,318,319,320,321
321->605: 9	 605,606,607,608,317,318,319,320,321
321->606: 8	 606,607,608,317,318,319,320,321
321->607: 7	 607,608,317,318,319,320,321
410->116: 15	 518,519,520,521,315,316,317,318,319,320,406,407,408,409,410
