id,Línea,Nombre,IdaEntrada,IdaCambio,IdaSalida,VueltaEntrada,VueltaCambio,VueltaSalida,anterior,siguiente
101,1,San Pablo,2,2,6,6,2,2,0,690
102,1,Neptuno,2,2,6,6,2,2,690,1030
103,1,Pajaritos,2,2,6,6,2,2,1030,860
104,1,Las Rejas,2,2,6,6,2,2,860,520
105,1,Ecuador,2,2,6,6,2,2,520,680
106,1,San Alberto Hurtado,2,2,6,6,2,2,680,540
107,1,Universidad de Santiago,2,2,5,5,2,2,540,750
108,1,Estación Central,2,2,5,5,2,2,750,630
109,1,Unión Latinoamericana,2,3,5,5,3,2,630,560
110,1,República,2,3,6,6,3,2,560,590
111,1,Los Héroes,2,3,6,6,3,2,590,460
112,1,La Moneda,3,3,6,6,3,3,460,400
113,1,Universidad de Chile,3,4,6,6,4,3,400,480
114,1,Santa Lucía,3,4,5,5,4,3,480,530
115,1,Universidad Católica,3,4,5,5,4,3,530,660
116,1,Baquedano,3,4,5,5,4,3,660,900
117,1,Salvador,2,4,7,7,4,2,900,830
118,1,Manuel Montt,2,2,7,7,2,2,830,700
119,1,Pedro de Valdivia,2,2,7,7,2,2,700,550
120,1,Los Leones,2,2,7,7,2,2,550,820
121,1,Tobalaba,2,2,5,5,2,2,820,620
122,1,El Golf,3,2,5,5,2,3,620,630
123,1,Alcántara,3,2,5,5,2,3,630,600
124,1,Escuela Militar,3,2,5,5,2,3,600,1500
125,1,Manquehue,2,3,5,5,3,2,1500,1160
126,1,Hernando de Magallanes,2,3,5,5,3,2,1160,1080
127,1,Los Dominicos,2,3,7,7,3,2,1080,0
201,2,Vespucio Norte,1,1,6,6,1,1,0,1500
202,2,Zapadores,3,3,6,6,3,3,1500,660
203,2,Dorsal,3,3,5,5,3,3,660,1400
204,2,Einstein,3,3,5,5,3,3,1400,920
205,2,Cementerios,2,3,6,6,3,2,920,980
206,2,Cerro Blanco,2,2,5,5,2,2,980,780
207,2,Patronato,3,3,6,6,3,3,780,760
208,2,Puente Cal y Canto,3,3,5,5,3,3,760,1290
209,2,Santa Ana,2,2,6,6,2,2,1290,890
210,2,Los Héroes,2,2,5,5,2,2,890,820
211,2,Toesca,2,2,6,6,2,2,820,960
212,2,Parque O'Higgins,2,2,5,5,2,2,960,950
213,2,Rondizzoni,3,3,6,6,3,3,950,1040
214,2,Franklin,3,3,6,6,3,3,1040,750
215,2,El Llano,1,1,6,6,1,1,750,740
216,2,San Miguel,1,1,6,6,1,1,740,850
217,2,Lo Vial,1,1,5,5,1,1,850,640
218,2,Departamental,2,2,5,5,2,2,640,770
219,2,Ciudad del Niño,2,2,5,5,2,2,770,880
220,2,Lo Ovalle,2,2,5,5,2,2,880,990
221,2,El Parrón,1,1,6,6,1,1,990,1200
222,2,La Cisterna,2,2,6,6,2,2,1200,910
223,2,El Bosque,3,3,6,6,3,3,910,1550
224,2,Observatorio,2,2,5,5,2,2,1550,1260
225,2,Copa Lo Martínez,1,1,6,6,1,1,1260,1330
226,2,El Pino,2,2,5,5,2,2,1330,0
301,3,Plaza de Quilicura,2,2,6,6,2,2,0,1000
302,3,Lo Cruzat,2,2,5,5,2,2,1000,1530
303,3,Ferrocarril,2,2,5,5,2,2,1530,1240
304,3,Los Libertadores,3,3,5,5,3,3,1240,1110
305,3,Cardenal Caro,3,3,5,5,3,3,1110,1600
306,3,Vivaceta,3,3,6,6,3,3,1600,1560
307,3,Conchalí,2,2,6,6,2,2,1560,1310
308,3,Plaza Chacabuco,2,2,6,6,2,2,1310,1250
309,3,Hospitales,3,3,5,5,3,3,1250,1680
310,3,Puente Cal y Canto,3,3,5,5,3,3,1680,570
311,3,Plaza de Armas,3,3,6,6,3,3,570,730
312,3,Universidad de Chile,2,2,5,5,2,2,730,840
313,3,Parque Almagro,2,2,6,6,2,2,840,1430
314,3,Matta,3,3,5,5,3,3,1430,1400
315,3,Irarrázaval,3,3,6,6,3,3,1400,1350
316,3,Monseñor Eyzaguirre,3,3,6,6,3,3,1350,800
317,3,Ñuñoa,2,2,6,6,2,2,800,750
318,3,Chile España,2,2,5,5,2,2,750,1540
319,3,Villa Frei,2,2,5,5,2,2,1540,890
320,3,Plaza Egaña,3,3,5,5,3,3,890,1320
321,3,Fernando Castillo Velasco,3,3,5,5,3,3,1320,0
401,4,Tobalaba,2,2,6,6,2,2,0,1310
402,4,Cristóbal Colón,2,2,6,6,2,2,1310,780
403,4,Francisco Bilbao,2,2,6,6,2,2,780,1420
404,4,Príncipe de Gales,2,2,6,6,2,2,1420,760
405,4,Simón Bolívar,2,2,5,5,2,2,760,840
406,4,Plaza Egaña,2,2,5,5,2,2,840,1020
